,Year,State,Deaths
1,2003.0,AL,105.0
2,2003.0,AR,18.0
3,2003.0,AZ,640.0
4,2003.0,CA,3241.0
5,2003.0,CO,361.0
6,2003.0,CT,289.0
7,2003.0,DC,106.0
8,2003.0,DE,64.0
9,2003.0,FL,1818.0
10,2003.0,GA,251.0
11,2003.0,HI,73.0
12,2003.0,IA,13.0
13,2003.0,ID,17.0
14,2003.0,IL,626.0
15,2003.0,IN,177.0
16,2003.0,KS,74.0
17,2003.0,KY,276.0
18,2003.0,LA,403.0
19,2003.0,MA,761.0
20,2003.0,MD,676.0
21,2003.0,ME,57.0
22,2003.0,MI,721.0
23,2003.0,MN,133.0
24,2003.0,MO,275.0
25,2003.0,MS,63.0
26,2003.0,MT,22.0
27,2003.0,NC,375.0
28,2003.0,NH,68.0
29,2003.0,NJ,652.0
30,2003.0,NM,257.0
31,2003.0,NV,306.0
32,2003.0,NY,949.0
33,2003.0,OH,536.0
34,2003.0,OK,190.0
35,2003.0,OR,260.0
36,2003.0,PA,1162.0
37,2003.0,RI,103.0
38,2003.0,SC,175.0
39,2003.0,TN,275.0
40,2003.0,TX,1329.0
41,2003.0,UT,273.0
42,2003.0,VA,211.0
43,2003.0,WA,568.0
44,2003.0,WI,218.0
45,2003.0,WV,109.0
47,2004.0,AL,141.0
48,2004.0,AR,35.0
49,2004.0,AZ,702.0
50,2004.0,CA,3351.0
51,2004.0,CO,370.0
52,2004.0,CT,289.0
53,2004.0,DC,102.0
54,2004.0,DE,78.0
55,2004.0,FL,2057.0
56,2004.0,GA,352.0
57,2004.0,HI,100.0
58,2004.0,IA,25.0
59,2004.0,ID,21.0
60,2004.0,IL,781.0
61,2004.0,IN,266.0
62,2004.0,KS,104.0
63,2004.0,KY,185.0
64,2004.0,LA,394.0
65,2004.0,MA,558.0
66,2004.0,MD,562.0
67,2004.0,ME,77.0
68,2004.0,MI,826.0
69,2004.0,MN,110.0
70,2004.0,MO,292.0
71,2004.0,MS,88.0
72,2004.0,NC,446.0
73,2004.0,NE,13.0
74,2004.0,NH,77.0
75,2004.0,NJ,538.0
76,2004.0,NM,210.0
77,2004.0,NV,347.0
78,2004.0,NY,840.0
79,2004.0,OH,847.0
80,2004.0,OK,257.0
81,2004.0,OR,278.0
82,2004.0,PA,1324.0
83,2004.0,RI,91.0
84,2004.0,SC,225.0
85,2004.0,TN,356.0
86,2004.0,TX,1333.0
87,2004.0,UT,281.0
88,2004.0,VA,216.0
89,2004.0,WA,683.0
90,2004.0,WI,268.0
91,2004.0,WV,115.0
93,2005.0,AL,139.0
94,2005.0,AR,61.0
95,2005.0,AZ,756.0
96,2005.0,CA,3498.0
97,2005.0,CO,438.0
98,2005.0,CT,288.0
99,2005.0,DC,87.0
100,2005.0,DE,37.0
101,2005.0,FL,2273.0
102,2005.0,GA,381.0
103,2005.0,HI,122.0
104,2005.0,IA,37.0
105,2005.0,ID,20.0
106,2005.0,IL,849.0
107,2005.0,IN,275.0
108,2005.0,KS,126.0
109,2005.0,KY,275.0
110,2005.0,LA,507.0
111,2005.0,MA,753.0
112,2005.0,MD,539.0
113,2005.0,ME,71.0
114,2005.0,MI,1002.0
115,2005.0,MN,158.0
116,2005.0,MO,332.0
117,2005.0,MS,90.0
118,2005.0,MT,12.0
119,2005.0,NC,616.0
120,2005.0,NE,27.0
121,2005.0,NH,88.0
122,2005.0,NJ,789.0
123,2005.0,NM,261.0
124,2005.0,NV,415.0
125,2005.0,NY,923.0
