,Year,State,County,Deaths
0,2003.0,LA,Acadia Parish,11.0
1,2005.0,LA,Acadia Parish,23.0
2,2006.0,LA,Acadia Parish,19.0
3,2007.0,LA,Acadia Parish,19.0
4,2009.0,LA,Acadia Parish,11.0
5,2010.0,LA,Acadia Parish,13.0
6,2011.0,LA,Acadia Parish,10.0
7,2003.0,ID,Ada County,17.0
8,2004.0,ID,Ada County,21.0
9,2005.0,ID,Ada County,20.0
10,2006.0,ID,Ada County,32.0
11,2007.0,ID,Ada County,32.0
12,2008.0,ID,Ada County,37.0
13,2009.0,ID,Ada County,44.0
14,2010.0,ID,Ada County,35.0
15,2011.0,ID,Ada County,45.0
16,2012.0,ID,Ada County,28.0
17,2013.0,ID,Ada County,55.0
18,2014.0,ID,Ada County,65.0
19,2015.0,ID,Ada County,44.0
20,2003.0,CO,Adams County,42.0
21,2004.0,CO,Adams County,46.0
22,2005.0,CO,Adams County,63.0
23,2006.0,CO,Adams County,62.0
24,2007.0,CO,Adams County,70.0
25,2008.0,CO,Adams County,50.0
26,2009.0,CO,Adams County,67.0
27,2010.0,CO,Adams County,53.0
28,2011.0,CO,Adams County,88.0
29,2012.0,CO,Adams County,91.0
30,2013.0,CO,Adams County,78.0
31,2014.0,CO,Adams County,88.0
32,2015.0,CO,Adams County,84.0
33,2015.0,IL,Adams County,14.0
34,2012.0,OH,Adams County,10.0
35,2014.0,OH,Adams County,10.0
36,2015.0,OH,Adams County,13.0
37,2009.0,PA,Adams County,12.0
38,2010.0,PA,Adams County,10.0
39,2003.0,SC,Aiken County,10.0
40,2004.0,SC,Aiken County,16.0
41,2005.0,SC,Aiken County,13.0
42,2006.0,SC,Aiken County,25.0
43,2007.0,SC,Aiken County,19.0
44,2008.0,SC,Aiken County,18.0
45,2009.0,SC,Aiken County,21.0
46,2010.0,SC,Aiken County,25.0
47,2011.0,SC,Aiken County,22.0
48,2012.0,SC,Aiken County,26.0
49,2013.0,SC,Aiken County,27.0
50,2014.0,SC,Aiken County,26.0
51,2015.0,SC,Aiken County,30.0
52,2003.0,FL,Alachua County,11.0
53,2007.0,FL,Alachua County,17.0
54,2009.0,FL,Alachua County,15.0
55,2010.0,FL,Alachua County,15.0
56,2011.0,FL,Alachua County,14.0
57,2012.0,FL,Alachua County,14.0
58,2013.0,FL,Alachua County,12.0
59,2014.0,FL,Alachua County,19.0
60,2015.0,FL,Alachua County,23.0
61,2005.0,NC,Alamance County,11.0
62,2006.0,NC,Alamance County,10.0
63,2007.0,NC,Alamance County,11.0
64,2008.0,NC,Alamance County,19.0
65,2009.0,NC,Alamance County,20.0
66,2011.0,NC,Alamance County,16.0
67,2012.0,NC,Alamance County,19.0
68,2013.0,NC,Alamance County,15.0
69,2014.0,NC,Alamance County,16.0
70,2015.0,NC,Alamance County,14.0
71,2003.0,CA,Alameda County,124.0
72,2004.0,CA,Alameda County,154.0
73,2005.0,CA,Alameda County,172.0
74,2006.0,CA,Alameda County,182.0
75,2007.0,CA,Alameda County,185.0
76,2008.0,CA,Alameda County,157.0
77,2009.0,CA,Alameda County,153.0
78,2010.0,CA,Alameda County,131.0
79,2011.0,CA,Alameda County,167.0
80,2012.0,CA,Alameda County,133.0
81,2013.0,CA,Alameda County,174.0
82,2014.0,CA,Alameda County,165.0
83,2015.0,CA,Alameda County,210.0
84,2006.0,NY,Albany County,11.0
85,2007.0,NY,Albany County,28.0
86,2008.0,NY,Albany County,15.0
87,2009.0,NY,Albany County,10.0
88,2010.0,NY,Albany County,24.0
89,2011.0,NY,Albany County,26.0
90,2012.0,NY,Albany County,13.0
91,2013.0,NY,Albany County,29.0
92,2014.0,NY,Albany County,25.0
93,2015.0,NY,Albany County,27.0
94,2009.0,NC,Alexander County,11.0
95,2015.0,NC,Alexander County,11.0
96,2009.0,VA,Alexandria city,12.0
97,2015.0,VA,Alexandria city,11.0
98,2007.0,MI,Allegan County,17.0
99,2009.0,MI,Allegan County,12.0
100,2013.0,MI,Allegan County,10.0
101,2014.0,MI,Allegan County,21.0
102,2003.0,MD,Allegany County,15.0
103,2006.0,MD,Allegany County,12.0
