,YEAR,STATE,State_Abrv,COUNTY,DEATHS,TOTAL_POP,_merge_old,COUNTY_Abrv,mortality_rate_state_avg,_merge,Deaths_Per_Cap,treatment_status
0,2003,Alabama,,ALABAMA,10.0,4503491,left_only,,1.165762294184667e-05,both,2.2204996079707943e-06,Control
1,2003,Alabama,,AUTAUGA COUNTY,1.0,46800,left_only,AUTAUGA,1.165762294184667e-05,both,2.1367521367521368e-05,Control
2,2003,Alabama,AL,BALDWIN COUNTY,10.0,151509,both,BALDWIN,1.165762294184667e-05,both,6.600267970879617e-05,Control
3,2003,Alabama,,BARBOUR COUNTY,0.0,28594,left_only,BARBOUR,1.165762294184667e-05,both,0.0,Control
4,2003,Alabama,,BIBB COUNTY,0.0,21399,left_only,BIBB,1.165762294184667e-05,both,0.0,Control
5,2003,Alabama,,BLOUNT COUNTY,1.0,53457,left_only,BLOUNT,1.165762294184667e-05,both,1.8706624015563912e-05,Control
6,2003,Alabama,,BULLOCK COUNTY,0.0,11316,left_only,BULLOCK,1.165762294184667e-05,both,0.0,Control
7,2003,Alabama,,BUTLER COUNTY,0.0,20833,left_only,BUTLER,1.165762294184667e-05,both,0.0,Control
8,2003,Alabama,,CALHOUN COUNTY,1.0,112705,left_only,CALHOUN,1.165762294184667e-05,both,8.872720819839404e-06,Control
9,2003,Alabama,,CHAMBERS COUNTY,0.0,35680,left_only,CHAMBERS,1.165762294184667e-05,both,0.0,Control
10,2003,Alabama,,CHEROKEE COUNTY,0.0,24591,left_only,CHEROKEE,1.165762294184667e-05,both,0.0,Control
11,2003,Alabama,,CHILTON COUNTY,0.0,41079,left_only,CHILTON,1.165762294184667e-05,both,0.0,Control
12,2003,Alabama,,CHOCTAW COUNTY,0.0,15199,left_only,CHOCTAW,1.165762294184667e-05,both,0.0,Control
13,2003,Alabama,,CLARKE COUNTY,0.0,27090,left_only,CLARKE,1.165762294184667e-05,both,0.0,Control
14,2003,Alabama,,CLAY COUNTY,0.0,14203,left_only,CLAY,1.165762294184667e-05,both,0.0,Control
15,2003,Alabama,,CLEBURNE COUNTY,0.0,14438,left_only,CLEBURNE,1.165762294184667e-05,both,0.0,Control
16,2003,Alabama,,COFFEE COUNTY,1.0,44315,left_only,COFFEE,1.165762294184667e-05,both,2.256572266726842e-05,Control
17,2003,Alabama,,COLBERT COUNTY,1.0,54279,left_only,COLBERT,1.165762294184667e-05,both,1.842333130676689e-05,Control
18,2003,Alabama,,CONECUH COUNTY,0.0,13585,left_only,CONECUH,1.165762294184667e-05,both,0.0,Control
19,2003,Alabama,,COOSA COUNTY,0.0,11732,left_only,COOSA,1.165762294184667e-05,both,0.0,Control
20,2003,Alabama,,COVINGTON COUNTY,0.0,36860,left_only,COVINGTON,1.165762294184667e-05,both,0.0,Control
21,2003,Alabama,,CRENSHAW COUNTY,0.0,13652,left_only,CRENSHAW,1.165762294184667e-05,both,0.0,Control
22,2003,Alabama,,CULLMAN COUNTY,1.0,77657,left_only,CULLMAN,1.165762294184667e-05,both,1.287713921475205e-05,Control
23,2003,Alabama,,DALE COUNTY,1.0,49215,left_only,DALE,1.165762294184667e-05,both,2.0319008432388498e-05,Control
24,2003,Alabama,,DALLAS COUNTY,1.0,45170,left_only,DALLAS,1.165762294184667e-05,both,2.2138587558113793e-05,Control
25,2003,Alabama,,DEKALB COUNTY,1.0,66530,left_only,DEKALB,1.165762294184667e-05,both,1.5030813166992335e-05,Control
26,2003,Alabama,,ELMORE COUNTY,1.0,69935,left_only,ELMORE,1.165762294184667e-05,both,1.4298991921069565e-05,Control
