,YEAR,State_Abrv,COUNTY_Abrv,MME_SHIPPED,STATE,treatment_status
0,2006,AL,AUTAUGA,17100542.2247504,Alabama,Control
1,2006,AL,BALDWIN,51039829.05032203,Alabama,Control
2,2006,AL,BARBOUR,5764019.122499964,Alabama,Control
3,2006,AL,BIBB,6278096.539499965,Alabama,Control
4,2006,AL,BLOUNT,10417469.82508755,Alabama,Control
5,2006,AL,BULLOCK,549354.8184999992,Alabama,Control
6,2006,AL,BUTLER,3828924.514087471,Alabama,Control
7,2006,AL,CALHOUN,45576375.99198506,Alabama,Control
8,2006,AL,CHAMBERS,13604605.537500208,Alabama,Control
9,2006,AL,CHEROKEE,10096068.20500007,Alabama,Control
10,2006,AL,CHILTON,14249522.659812644,Alabama,Control
11,2006,AL,CHOCTAW,4168146.5649499777,Alabama,Control
12,2006,AL,CLARKE,5063858.75744995,Alabama,Control
13,2006,AL,CLAY,3244174.989999991,Alabama,Control
14,2006,AL,CLEBURNE,1793585.8349999997,Alabama,Control
15,2006,AL,COFFEE,10784062.700225089,Alabama,Control
16,2006,AL,COLBERT,29690486.374450125,Alabama,Control
17,2006,AL,CONECUH,4305366.129499987,Alabama,Control
18,2006,AL,COOSA,983094.2350000021,Alabama,Control
19,2006,AL,COVINGTON,11899533.580862608,Alabama,Control
20,2006,AL,CRENSHAW,2077159.1725000022,Alabama,Control
21,2006,AL,CULLMAN,27960221.23436271,Alabama,Control
22,2006,AL,DALE,9251308.900087548,Alabama,Control
23,2006,AL,DALLAS,8232200.156999976,Alabama,Control
24,2006,AL,DE KALB,17888295.64795022,Alabama,Control
25,2006,AL,ELMORE,14626803.858262904,Alabama,Control
26,2006,AL,ESCAMBIA,12538987.860725148,Alabama,Control
27,2006,AL,ETOWAH,65594549.857597485,Alabama,Control
28,2006,AL,FAYETTE,3990016.522499975,Alabama,Control
29,2006,AL,FRANKLIN,13266643.45036273,Alabama,Control
30,2006,AL,GENEVA,7448286.040224998,Alabama,Control
31,2006,AL,GREENE,250976.0474999997,Alabama,Control
32,2006,AL,HALE,1749919.157725001,Alabama,Control
33,2006,AL,HENRY,2287983.327500002,Alabama,Control
34,2006,AL,HOUSTON,29875257.676225178,Alabama,Control
35,2006,AL,JACKSON,22916837.795862615,Alabama,Control
36,2006,AL,JEFFERSON,232244349.66418663,Alabama,Control
37,2006,AL,LAMAR,3425388.8899874897,Alabama,Control
38,2006,AL,LAUDERDALE,25413754.61000022,Alabama,Control
39,2006,AL,LAWRENCE,9500425.59250003,Alabama,Control
40,2006,AL,LEE,12147421.193675347,Alabama,Control
41,2006,AL,LIMESTONE,18289061.09900025,Alabama,Control
